WMO_Region,OID_,Continent,Type,Name,Acronym,Area,AreaPercent,GDP_billion,TotalRiskbyGDP
,0,POLAR,Land,Greenland/Iceland,GIC,2335453.729,,168.1804814,0.0
 North America Central America and the Caribbean,1,NORTH-AMERICA,Land,N.W.North-America,NWN,5417501.175,0.245325895,3047.925553,0.00030783739905539614
 North America Central America and the Caribbean,2,NORTH-AMERICA,Land,N.E.North-America,NEN,4559820.508,0.20648672,512.1468413,0.00019947595574480414
 North America Central America and the Caribbean,3,NORTH-AMERICA,Land,W.North-America,WNA,2721928.576,0.123259699,31343.16539,0.0007025827251760548
 North America Central America and the Caribbean,4,NORTH-AMERICA,Land,C.North-America,CNA,2754947.451,0.124754924,30416.35962,0.0033635729307930897
 North America Central America and the Caribbean,5,NORTH-AMERICA,Land,E.North-America,ENA,3411511.81,0.154486757,112891.7586,0.003053968760715629
 North America Central America and the Caribbean,6,CENTRAL-AMERICA,Land,N.Central-America,NCA,1996324.302,0.090401466,24342.89307,0.0033248724073863746
 North America Central America and the Caribbean,7,CENTRAL-AMERICA,Land,S.Central-America,SCA,990715.3519,0.044863512,11337.09167,0.00305396875819299
 North America Central America and the Caribbean,8,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,230126.2504,0.010421027,5743.938646,0.002889323266041028
SOUTH AMERICA,9,SOUTH-AMERICA,Land,N.W.South-America,NWS,2059354.743,0.116106949,11145.75819,-5.581097830558623e-05
SOUTH AMERICA,10,SOUTH-AMERICA,Land,N.South-America,NSA,4391103.239,0.247571528,5774.043113,0.0004640257763595608
SOUTH AMERICA,11,SOUTH-AMERICA,Land,N.E.South-America,NES,2704200.895,0.152463541,7521.491305,0.0002019044212308905
SOUTH AMERICA,12,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,2986131.203,0.168358844,1556.645967,0.00041529934035913
SOUTH AMERICA,13,SOUTH-AMERICA,Land,S.W.South-America,SWS,1044024.274,0.058862357,4593.33606,0.00020190442214613406
SOUTH AMERICA,14,SOUTH-AMERICA,Land,S.E.South-America,SES,3790064.565,0.213684814,30425.07396,0.00015758393901596287
SOUTH AMERICA,15,SOUTH-AMERICA,Land,S.South-America,SSA,761826.3735,0.042951967,451.8445819,-5.581097742670532e-05
EUROPE,16,EUROPE,Land,N.Europe,NEU,2062489.121,0.166381836,51420.03944,-0.00035775948101272013
EUROPE,17,EUROPE,Land,West&Central-Europe,WCE,3366026.066,0.271538692,114047.0021,0.0005286155929913742
EUROPE,18,EUROPE,Land,E.Europe,EEU,2834168.326,0.228633512,7784.705868,-0.0001595286361162554
EUROPE,19,EUROPE-AFRICA,Land-Ocean,Mediterranean,MED,4133435.963,0.33344596,79143.38026,2.737473601605179e-05
AFRICA_WMO,20,AFRICA,Land,Sahara,SAH,8976304.125,0.318223955,5501.560454,0.0
AFRICA_WMO,21,AFRICA,Land,Western-Africa,WAF,3094470.472,0.109703795,13495.91749,0.0
AFRICA_WMO,22,AFRICA,Land,Central-Africa,CAF,4645871.619,0.164703381,2852.838093,0.00012749190019929394
AFRICA_WMO,23,AFRICA,Land,N.Eastern-Africa,NEAF,3044293.359,0.107924939,2851.532992,0.0
AFRICA_WMO,24,AFRICA,Land,S.Eastern-Africa,SEAF,2088218.611,0.074030601,3489.326231,0.00043519217920827874
AFRICA_WMO,25,AFRICA,Land,W.Southern-Africa,WSAF,2913862.456,0.10330096,1987.314223,0.0002427445758038033
AFRICA_WMO,26,AFRICA,Land,E.Southern-Africa,ESAF,2852484.08,0.101125001,7248.925723,0.0006779367564561952
AFRICA_WMO,27,AFRICA,Land,Madagascar,MDG,592001.3162,0.020987368,320.0809699,0.00043519217822765035
,28,ASIA,Land,Russian-Arctic,RAR,4529684.374,,776.0923828,0.0
ASIA_WMO,29,ASIA,Land,W.Siberia,WSB,4251800.346,0.120691516,12903.8825,2.9249785093749886e-05
ASIA_WMO,30,ASIA,Land,E.Siberia,ESB,5669067.131,0.160922021,6670.274325,0.0005653321021395923
ASIA_WMO,31,ASIA,Land,Russian-Far-East,RFE,2702114.05,0.076702153,2017.161498,5.518149434755868e-05
ASIA_WMO,32,ASIA,Land,W.C.Asia,WCA,5444637.429,0.154551364,32987.61012,0.0001246837109944599
ASIA_WMO,33,ASIA,Land,E.C.Asia,ECA,2794045.052,0.079311704,5513.854227,0.0005501897520512742
ASIA_WMO,34,ASIA,Land,Tibetan-Plateau,TIB,2344093.198,0.06653938,6878.969284,0.0005360822977618634
ASIA_WMO,35,ASIA,Land,E.Asia,EAS,5092989.009,0.144569479,250072.6113,0.001395699311346376
ASIA_WMO,36,ASIA,Land,Arabian-Peninsula,ARP,2747187.43,0.077981605,29068.30284,2.5931707975834475e-05
ASIA_WMO,37,ASIA,Land,S.Asia,SAS,4182726.185,0.118730778,79195.16156,0.000576121440581098
SOUTH-WEST PACIFIC,38,ASIA,Land-Ocean,S.E.Asia,SEA,4177740.806,0.343836736,62591.2164,0.0006667887566749702
SOUTH-WEST PACIFIC,39,OCEANIA,Land,N.Australia,NAU,1626713.859,0.133881925,363.7902304,0.000445773251758
SOUTH-WEST PACIFIC,40,OCEANIA,Land,C.Australia,CAU,3542848.563,0.291583787,124.5591027,0.0004457731199407556
SOUTH-WEST PACIFIC,41,OCEANIA,Land,E.Australia,EAU,1004076.991,0.082637619,5023.25125,0.0006205862818004972
SOUTH-WEST PACIFIC,42,OCEANIA,Land,S.Australia,SAU,1530052.105,0.125926463,5210.003249,0.0006205862775550065
SOUTH-WEST PACIFIC,43,OCEANIA,Land,New-Zealand,NZ,268929.6749,0.02213347,1601.501288,0.0003387002570065994
