Scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid cooling modern_d9,elect_td_bld,7.40E-04,0.00157504,0.00246079,0.00365397,0.00486349,0.00685607,0.0096407,0.0130389,0.0174297,0.0228273,0.0291704,0.0361484,0.0434356,0.0504598,0.0565987,0.0614111,0.0644826,0.0658586,0.0655666,0.0639544,0.0620463,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid heating modern_d1,elect_td_bld,1.22E-05,2.61E-05,3.85E-05,4.92E-05,2.36E-04,3.75E-04,6.03E-04,9.31E-04,0.00145806,0.00229343,0.00334291,0.00470737,0.00611478,0.00759652,0.00899017,0.0101667,0.0111186,0.0118768,0.0124491,0.0128504,0.0132188,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid heating modern_d10,elect_td_bld,2.22E-04,4.35E-04,6.57E-04,9.77E-04,0.00288878,0.0038927,0.00479648,0.00593825,0.00750583,0.00949264,0.0114847,0.013709,0.0155582,0.01712,0.0182995,0.0191046,0.0196348,0.01991,0.0199256,0.0197255,0.0194902,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid heating modern_d2,elect_td_bld,2.05E-05,4.39E-05,7.62E-05,1.06E-04,4.42E-04,6.75E-04,0.0010229,0.00152132,0.00228854,0.00338362,0.00469698,0.00627323,0.00786087,0.009386,0.0107075,0.0117599,0.0126245,0.0133166,0.0138296,0.0141798,0.0144959,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid heating modern_d3,elect_td_bld,2.82E-05,6.07E-05,1.02E-04,1.47E-04,6.17E-04,9.33E-04,0.00135762,0.00195981,0.00287319,0.00411828,0.00551468,0.00718085,0.00880604,0.0103058,0.0115866,0.0126152,0.013454,0.0141109,0.0145782,0.0148665,0.0151182,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid heating modern_d4,elect_td_bld,3.66E-05,7.64E-05,1.32E-04,1.94E-04,7.46E-04,0.00112262,0.00161393,0.00229084,0.00328422,0.00462907,0.00609106,0.0078104,0.0094336,0.0109031,0.0121483,0.0131542,0.0139625,0.0145848,0.0150099,0.0152571,0.0154827,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid heating modern_d5,elect_td_bld,4.63E-05,9.51E-05,1.64E-04,2.41E-04,8.88E-04,0.00135049,0.0019028,0.00263833,0.0036879,0.00506529,0.00656147,0.0083385,0.00997031,0.011448,0.0126854,0.0136637,0.0144638,0.0150696,0.0154602,0.0156617,0.0158329,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid heating modern_d6,elect_td_bld,5.81E-05,1.22E-04,1.98E-04,2.97E-04,0.00104636,0.00156867,0.00216478,0.00295296,0.00406928,0.00551554,0.00703673,0.00878986,0.0104055,0.0118767,0.0130935,0.0140628,0.0148377,0.0154173,0.015792,0.0159815,0.0161365,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid heating modern_d7,elect_td_bld,7.67E-05,1.63E-04,2.56E-04,3.83E-04,0.00124316,0.00183412,0.00247715,0.00331018,0.00446808,0.0059548,0.00752538,0.00932254,0.0109292,0.0123905,0.0136266,0.0146058,0.0153747,0.0159116,0.0162324,0.0163638,0.0164641,EJ
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,resid heating modern_d8,elect_td_bld,1.12E-04,2.23E-04,3.42E-04,5.07E-04,0.00151043,0.0021873,0.00288854,0.00377636,0.0049955,0.00655027,0.00816935,0.0100223,0.0116653,0.0131475,0.0143743,0.0153271,0.0160624,0.0166049,0.0169202,0.0170327,0.0171031,EJ
