"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,construction energy use,electricity,0,0,0,0,0,4.46E-06,1.95E-05,4.78E-05,9.08E-05,1.64E-04,2.71E-04,3.50E-04,4.01E-04,4.27E-04,4.41E-04,4.47E-04,4.49E-04,4.48E-04,4.43E-04,4.36E-04,4.27E-04,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,construction energy use,hydrogen,0,0,0,0,1.27E-07,1.96E-05,7.57E-05,1.57E-04,2.40E-04,3.35E-04,4.29E-04,5.01E-04,5.55E-04,5.94E-04,6.22E-04,6.42E-04,6.54E-04,6.60E-04,6.59E-04,6.52E-04,6.40E-04,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,construction energy use,refined liquids,0,0.001213951,0.004060425,0.001925526,0.002202684,0.002385324,0.002502414,0.002586117,0.002665805,0.00267637,0.002654253,0.002737353,0.002926132,0.003162277,0.003407456,0.003629529,0.003836413,0.00404032,0.004236954,0.004424412,0.004608594,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,construction feedstocks,refined liquids,0.0028527,0.0033079,0.003227,0.0038467,0.0044465,0.00495569,0.00550883,0.00614675,0.00684743,0.00759281,0.00842823,0.00932037,0.0102819,0.0112136,0.0120926,0.0128818,0.0136027,0.0142966,0.0149487,0.0155541,0.0161115,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,desalinated water,electricity,2.02E-06,1.23E-06,9.61E-07,6.95E-07,7.12E-07,8.80E-07,1.13E-06,1.41E-06,1.74E-06,2.09E-06,2.45E-06,2.85E-06,3.12E-06,3.35E-06,3.56E-06,3.75E-06,3.92E-06,4.05E-06,4.14E-06,4.16E-06,4.14E-06,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,desalinated water,gas,0,4.68E-06,3.98E-06,2.29E-06,1.84E-06,1.99E-06,2.34E-06,2.80E-06,3.19E-06,3.77E-06,4.48E-06,5.40E-06,6.16E-06,6.79E-06,7.54E-06,8.39E-06,9.20E-06,1.00E-05,1.07E-05,1.10E-05,1.12E-05,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,desalinated water,refined liquids,2.72E-05,2.25E-05,2.32E-05,2.49E-05,2.62E-05,2.72E-05,3.04E-05,3.66E-05,4.48E-05,5.31E-05,6.36E-05,7.59E-05,8.61E-05,9.54E-05,1.06E-04,1.16E-04,1.27E-04,1.39E-04,1.50E-04,1.58E-04,1.65E-04,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,food processing,electricity,0.00247641,0.00389803,0.00474809,0.00782397,0.00883962,0.0099412,0.01113688,0.01236522,0.013643836,0.014973853,0.01634902,0.017750014,0.019167666,0.020584099,0.021974293,0.023307742,0.024548809,0.025676679,0.026673802,0.027539384,0.028266434,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,industrial wastewater treatment,electricity,2.72E-05,4.90E-05,6.13E-05,9.85E-05,1.24E-04,1.55E-04,1.96E-04,2.48E-04,3.16E-04,4.04E-04,5.16E-04,6.54E-04,8.23E-04,0.00102114,0.00124746,0.00149725,0.00176271,0.00203697,0.00231033,0.0025749,0.00282577,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,industrial water abstraction,electricity,4.96E-05,8.75E-05,1.11E-04,1.68E-04,1.91E-04,2.16E-04,2.45E-04,2.75E-04,3.08E-04,3.44E-04,3.82E-04,4.22E-04,4.64E-04,5.06E-04,5.49E-04,5.92E-04,6.32E-04,6.70E-04,7.05E-04,7.35E-04,7.61E-04,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,industrial water treatment,electricity,6.95E-05,1.29E-04,1.64E-04,2.63E-04,2.99E-04,3.38E-04,3.82E-04,4.30E-04,4.82E-04,5.37E-04,5.97E-04,6.60E-04,7.25E-04,7.92E-04,8.59E-04,9.25E-04,9.89E-04,0.00104829,0.00110202,0.00114931,0.0011906,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,iron and steel,biomass,0,0,0,0,0,5.15E-05,1.90E-04,5.44E-04,0.001388016,0.003222567,0.006844561,0.012018428,0.018421324,0.025399931,0.03222832,0.03840113,0.04371749,0.0480441,0.05144641,0.05408785,0.05608683,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,iron and steel,coal,0,0,0,4.73E-06,0.001008542,0.002419327,0.00542656,0.012007976,0.026133509,0.054457104,0.105732266,0.185357978,0.28993955,0.408615794,0.526941162,0.63454989,0.72789357,0.80390001,0.8628603,0.90676488,0.93677399,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,iron and steel,electricity,7.74E-05,7.74E-05,7.74E-05,7.71E-05,8.58E-04,0.001429222,0.002221337,0.003646719,0.006416586,0.011543726,0.020092777,0.032217725,0.046821015,0.061941884,0.075676201,0.086995979,0.095770975,0.102053579,0.106069498,0.10815217,0.108654733,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,iron and steel,gas,0,2.81E-05,2.81E-05,3.14E-05,5.98E-04,0.001161831,0.002091942,0.003935671,0.007557246,0.014548711,0.027080679,0.04674585,0.0730549,0.102899112,0.133567491,0.163332919,0.190922863,0.215704318,0.236119684,0.251038421,0.261204793,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,iron and steel,hydrogen,0,0,0,0,0,5.68E-06,3.60E-05,1.07E-04,2.68E-04,6.31E-04,0.00139349,0.00258388,0.004164414,0.005972395,0.007805424,0.009523615,0.011045147,0.012334646,0.013331123,0.013992831,0.014362134,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,iron and steel,refined liquids,2.81E-05,2.81E-05,2.81E-05,2.85E-05,3.45E-04,5.92E-04,9.45E-04,0.001593851,0.002845488,0.005180685,0.009158191,0.015013637,0.022370704,0.030271602,0.037871123,0.044700129,0.050565403,0.055419958,0.059098264,0.061514731,0.062876733,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,irrigation water abstraction,electricity,0.00303452,0.00488084,0.00556491,0.00642684,0.00652448,0.00715507,0.00796802,0.00874559,0.00957253,0.010556,0.0115653,0.0123154,0.013111,0.0138365,0.0144742,0.014941,0.0152676,0.0155022,0.0156155,0.0150734,0.0144589,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,mining energy use,electricity,0,0,0,2.02E-05,3.92E-05,9.63E-05,1.91E-04,2.92E-04,3.80E-04,4.95E-04,6.34E-04,7.61E-04,8.81E-04,9.79E-04,0.00106013,0.001129463,0.001189844,0.0012415,0.001289004,0.00133476,0.001382357,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,mining energy use,hydrogen,0,0,0,0,6.41E-08,1.10E-05,4.20E-05,8.65E-05,1.29E-04,1.78E-04,2.23E-04,2.57E-04,2.84E-04,3.01E-04,3.11E-04,3.16E-04,3.18E-04,3.15E-04,3.10E-04,3.02E-04,2.93E-04,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,mining energy use,refined liquids,0,0,0.001264675,0.001252863,0.001402684,0.001462233,0.00144493,0.001404896,0.001383256,0.001314431,0.001224708,0.001199936,0.001243689,0.001305419,0.001362863,0.001405383,0.001440252,0.00146892,0.001493893,0.001513978,0.001529809,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,municipal wastewater treatment,electricity,1.97E-04,4.28E-04,6.96E-04,7.34E-04,9.46E-04,0.0011879,0.00152867,0.00195765,0.00252153,0.0032562,0.0041838,0.00532791,0.00669825,0.00830863,0.0101334,0.0121123,0.0141852,0.0163106,0.0184171,0.0202181,0.0217955,EJ,,,
"Reference,date=2024-4-8T17:03:12-04:00",Africa_Eastern,municipal water abstraction,electricity,4.73E-04,0.0010263,0.00166708,0.0017245,0.00193799,0.00219032,0.00251325,0.00285505,0.00322697,0.00363032,0.00405213,0.00448645,0.00492363,0.00536843,0.0058085,0.00622622,0.00661352,0.00697338,0.00729526,0.00749166,0.00762148,EJ,,,
