return-years,wind
1.197444408,1.901220171
1.197548229,2.247668224
1.197652114,2.306533593
1.197756062,2.397891929
1.197860075,2.690957387
1.197964151,2.821519681
1.198068291,2.871910024
1.198172494,2.905168625
1.198276762,2.919534743
1.198381093,2.926555492
1.198485489,3.019945962
1.198589948,3.032916482
1.198694472,3.085867735
1.19879906,3.378448798
1.198903712,3.552427613
1.199008428,3.665015532
1.199113208,3.669674358
1.199218053,3.869862865
1.199322962,3.975798244
1.199427936,4.11084679
1.199532974,4.168514757
1.199638077,4.289057231
1.199743244,4.472664704
1.199848476,4.480100042
1.199953772,4.487138063
1.200059134,4.532284841
1.20016456,4.58732365
1.200270051,4.605392164
1.200375606,4.622201956
1.200481227,4.642412853
1.200586913,4.651219557
1.200692663,4.655172386
1.200798479,4.671066233
1.20090436,4.676938023
1.201010306,4.742218299
1.201116317,4.81345712
1.201222394,4.867989841
1.201328536,4.868460829
1.201434743,4.948374811
1.201541016,4.955649991
1.201647354,4.958039197
1.201753758,4.969199512
1.201860227,4.984030846
1.201966762,4.998213183
1.202073362,5.0036579
1.202180029,5.006395111
1.202286761,5.070084912
1.202393559,5.102812427
1.202500423,5.111352793
1.202607352,5.11228139
1.202714348,5.159382286
1.20282141,5.185895563
1.202928538,5.186823145
1.203035732,5.248168637
1.203142992,5.248964253
1.203250318,5.253614648
1.203357711,5.278913544
1.20346517,5.348809881
1.203572695,5.387941799
1.203680287,5.390806495
1.203787945,5.409226244
1.20389567,5.431475536
1.204003462,5.454659619
1.20411132,5.476278062
1.204219245,5.502135583
1.204327236,5.512366005
1.204435295,5.513010676
1.20454342,5.518150083
1.204651612,5.550482322
1.204759871,5.621016035
1.204868197,5.680147126
1.204976591,5.695297655
1.205085051,5.695396529
1.205193578,5.697001167
1.205302173,5.714168015
1.205410835,5.714926946
1.205519564,5.721833104
1.205628361,5.744049387
1.205737225,5.75227556
1.205846156,5.77929011
1.205955155,5.804608881
1.206064222,5.863018916
1.206173356,5.873693717
1.206282558,5.886169764
1.206391828,5.922518674
1.206501165,5.923720885
1.20661057,5.957267155
1.206720044,5.961655074
1.206829585,6.029339845
1.206939194,6.040116399
1.207048871,6.054061281
1.207158616,6.060888829
1.20726843,6.063467675
1.207378312,6.07320219
1.207488261,6.108559695
1.20759828,6.147636248
1.207708366,6.151517782
1.207818521,6.199902161
1.207928745,6.219495439
1.208039037,6.252414206
1.208149398,6.253081031
1.208259827,6.282730147
1.208370325,6.289852215
1.208480892,6.304830433
1.208591527,6.321205713
1.208702231,6.352112314
1.208813005,6.433997383
1.208923847,6.452848315
1.209034758,6.4546616
1.209145738,6.463462416
1.209256788,6.469622326
1.209367906,6.475308843
1.209479094,6.47900614
1.209590351,6.481307206
1.209701678,6.507340478
1.209813074,6.547451226
1.209924539,6.572445689
1.210036074,6.573758978
1.210147678,6.611239293
1.210259352,6.637923154
1.210371095,6.643346272
1.210482909,6.650977516
1.210594792,6.660406751
1.210706745,6.664384709
1.210818768,6.664754315
1.21093086,6.672089765
1.211043023,6.71573523
1.211155256,6.734498349
1.211267558,6.773723741
1.211379931,6.779572871
1.211492375,6.790695884
1.211604888,6.828983683
1.211717472,6.835171539
1.211830126,6.863951511
1.211942851,6.876458598
1.212055646,6.887179701
1.212168511,6.893737977
1.212281447,6.899761633
1.212394454,6.910746815
1.212507532,6.936749076
1.21262068,6.940966753
1.212733899,6.946599211
1.212847189,6.95037611
1.21296055,6.965359462
1.213073982,6.984688896
1.213187485,6.990232095
1.213301059,7.014477703
1.213414704,7.025640063
1.21352842,7.028701313
1.213642208,7.029846339
1.213756067,7.030356118
1.213869997,7.045451062
1.213983999,7.049692678
1.214098072,7.050247208
1.214212217,7.056690995
1.214326434,7.069077312
1.214440722,7.075643567
1.214555081,7.086023606
1.214669513,7.087820163
1.214784016,7.108529591
1.214898591,7.108831099
1.215013239,7.111957704
1.215127958,7.125793947
1.215242749,7.129588678
1.215357612,7.131689777
1.215472548,7.141917542
1.215587555,7.157113284
1.215702635,7.158421343
1.215817788,7.160380416
1.215933012,7.163372787
1.21604831,7.163410952
1.216163679,7.175111483
1.216279122,7.200428087
1.216394636,7.210046208
1.216510224,7.214836629
1.216625884,7.233527588
1.216741617,7.258791201
1.216857423,7.259437226
1.216973302,7.264735453
1.217089254,7.266494975
1.217205279,7.267221121
1.217321376,7.268330952
1.217437548,7.269967418
1.217553792,7.270427159
1.217670109,7.285937551
1.2177865,7.28694769
1.217902964,7.309281717
1.218019502,7.316102447
1.218136113,7.325256782
1.218252798,7.342037795
1.218369556,7.342569044
1.218486388,7.346682963
1.218603293,7.347767313
1.218720273,7.355622012
1.218837326,7.366652878
1.218954453,7.374962877
1.219071654,7.385386107
1.219188929,7.399168592
1.219306279,7.401564606
1.219423702,7.404082245
1.2195412,7.433357197
1.219658771,7.445647192
1.219776417,7.450490426
1.219894138,7.454404488
1.220011933,7.455338801
1.220129802,7.47100401
1.220247746,7.474931058
1.220365765,7.495094533
1.220483858,7.505756607
1.220602026,7.509731734
1.220720268,7.522963625
1.220838586,7.544892323
1.220956978,7.550386104
1.221075446,7.552020345
1.221193988,7.556484135
1.221312606,7.566789107
1.221431299,7.567064226
1.221550066,7.590971501
1.22166891,7.60027928
1.221787828,7.612164992
1.221906822,7.615432989
1.222025891,7.617888331
1.222145036,7.618761407
1.222264256,7.634487478
1.222383552,7.642390747
1.222502924,7.642760333
1.222622371,7.652269997
1.222741895,7.656924472
1.222861494,7.66404138
1.222981169,7.665624257
1.22310092,7.674403771
1.223220747,7.675944858
1.22334065,7.690650299
1.223460629,7.697338331
1.223580685,7.703218892
1.223700817,7.705972164
1.223821025,7.707585737
1.22394131,7.708059274
1.224061671,7.717315655
1.224182109,7.723449363
1.224302623,7.72613081
1.224423214,7.728011851
1.224543881,7.742417598
1.224664626,7.746756669
1.224785447,7.753998607
1.224906345,7.757362722
1.22502732,7.797310963
1.225148373,7.80205942
1.225269502,7.803889525
1.225390708,7.804379619
1.225511992,7.828711804
1.225633353,7.836566616
1.225754791,7.838902639
1.225876307,7.851913865
1.2259979,7.860966833
1.226119571,7.861582362
1.226241319,7.871326597
1.226363145,7.873647691
1.226485049,7.878353884
1.22660703,7.879138758
1.226729089,7.883166123
1.226851227,7.889671568
1.226973442,7.893098066
1.227095735,7.897697583
1.227218106,7.902900111
1.227340556,7.905799467
1.227463083,7.908990453
1.227585689,7.913943765
1.227708373,7.918018205
1.227831136,7.925092624
1.227953977,7.935181643
1.228076897,7.941417376
1.228199895,7.944890028
1.228322972,7.948569435
1.228446128,7.950873675
1.228569362,7.950922892
1.228692676,7.976773278
1.228816068,7.97950933
1.228939539,7.98883197
1.229063089,7.989484324
1.229186719,7.990918949
1.229310427,8.022805357
1.229434215,8.025084208
1.229558082,8.038726635
1.229682029,8.058793901
1.229806055,8.063449864
1.22993016,8.064971096
1.230054345,8.070887567
1.23017861,8.073478558
1.230302954,8.076046689
1.230427378,8.080434008
1.230551882,8.091042155
1.230676465,8.106994476
1.230801129,8.108843185
1.230925873,8.110953375
1.231050696,8.11193168
1.2311756,8.13492187
1.231300584,8.137504425
1.231425649,8.144776369
1.231550794,8.145448747
1.231676019,8.147019837
1.231801324,8.149437797
1.23192671,8.152917804
1.232052177,8.154263451
1.232177725,8.161247494
1.232303353,8.168121821
1.232429062,8.180487394
1.232554851,8.187077191
1.232680722,8.194426001
1.232806674,8.20837467
1.232932707,8.220563578
1.233058821,8.224696348
1.233185016,8.230751822
1.233311292,8.23259661
1.23343765,8.234062388
1.233564089,8.249686878
1.233690609,8.257184136
1.233817211,8.262828418
1.233943895,8.267621909
1.23407066,8.271811764
1.234197507,8.2742912
1.234324436,8.278415636
1.234451447,8.282893464
1.23457854,8.287033217
1.234705714,8.290236478
1.234832971,8.30491546
1.23496031,8.309860799
1.235087731,8.313453176
1.235215234,8.320201087
1.23534282,8.321891231
1.235470488,8.325185169
1.235598238,8.325705444
1.235726071,8.328716109
1.235853987,8.332469583
1.235981985,8.342275921
1.236110066,8.347541396
1.23623823,8.350715986
1.236366476,8.351063153
1.236494806,8.354590868
1.236623219,8.356021575
1.236751714,8.356081816
