return-period,upper,lower
1,1.90122017082581,1.90122017082581
2,19.992400139712903,13.880390933141165
3,24.95763130948682,18.873623788902016
4,28.273514855945365,22.024126930767704
5,31.054934434072255,24.07010696922674
6,33.1766414538061,26.219692498820862
7,35.12953664655599,27.82593947439908
8,36.8269846075286,29.249995859101553
9,38.16633961039727,30.642548954146793
10,39.91062167610533,31.83139415658931
11,41.25942804942274,32.74885736313796
12,42.09578874682167,33.76542294279278
13,43.08662388172645,34.72141507744709
14,43.89038653522845,35.71949625387255
15,44.9949245316981,36.478356659149405
16,46.186109417160836,37.099493978988974
17,46.94092361521538,37.902825440217214
18,47.72717529246929,38.66056600842366
19,48.53414400292063,39.23831322222909
20,49.248073936598075,39.77343156199551
21,49.858805610278026,40.34428203162588
22,50.4398308835572,40.88655379496981
23,50.99388149541426,41.40291279713636
24,51.523329847216736,41.89567099500718
25,52.03024931841371,42.3668461862351
26,52.5164624420061,42.818209730715715
27,52.98357975811677,43.25132498769302
28,53.43303142912845,43.66757855281126
29,53.86609317612818,44.06820585352468
30,54.283907717913074,44.45431228169303
31,54.68750261677715,44.82689076467668
32,55.0778052301047,45.18683647093348
33,55.45565531315006,45.534959192551455
34,55.82181570215235,45.87199383110414
35,56.1769814181763,46.198609324689116
36,56.52178746368729,46.51541628587212
37,56.85681553074896,46.82297356737941
38,57.18259979814003,47.12179393101961
39,57.499631961892234,47.412348962727975
40,57.808365617706556,47.695073350771075
41,58.10922009289166,47.97036862350389
42,58.40258380872923,48.23860642648329
43,58.688817240636,48.5001314053356
44,58.96825553248006,48.755263749881394
45,59.24121081240998,49.00430144612207
46,59.50797425016039,49.24752227538673
47,59.76881788969229,49.485185593909264
48,60.023996285966966,49.7175339211157
49,60.27374797043478,49.94479436074171
50,60.51829676629691,50.167179875431444
51,60.75785297164045,50.38489043255367
52,60.99261442605108,50.598114036518595
53,61.222767474202314,50.80702766080615
54,61.448487838129964,51.011798091158056
55,61.66994140837687,51.212582689890276
56,61.8872849628937,51.409530090005745
57,62.100666821465,51.60278082669395
58,62.310227442474435,51.79246791286522
59,62.516099967996,51.9787173645599
60,62.718410722486816,52.161648681372945
61,62.91727966973976,52.34137528643282
62,63.11282083221425,52.518004929944944
63,63.30514267640307,52.691640059858585
64,63.494348467480116,52.86237816281334
65,63.68053659612048,53.03031207817685
66,63.86380088006987,53.195530287677386
67,64.04423084276993,53.358117182870885
68,64.22191197109927,53.51815331244302
69,64.39692595408071,53.67571561114099
70,64.56935090421688,53.8308776119472
71,64.73926156294712,53.98370964294199
72,64.90672949157329,54.134279010161734
73,65.07182324886969,54.282650167628034
74,65.23460855647616,54.42888487561332
75,65.39514845306678,54.573042348101964
76,65.55350343819768,54.715179390322064
77,65.70973160665042,54.85535052713579
78,65.86388877401359,54.993608123007554
79,66.01602859418114,55.13000249420399
80,66.1662026693815,55.26458201382003
81,66.31446065330086,55.39739321017378
82,66.46085034781377,55.52848085906627
83,66.6054177937898,55.65788807035722
84,66.74820735640805,55.78565636927359
85,66.88926180536973,55.91182577282774
86,67.02862239037458,56.03643486169571
87,67.16632891218931,56.159520847873374
88,67.30241978961377,56.28111963840452
89,67.43693212262758,56.40126589545177
90,67.56990175197329,56.51999309295802
91,67.70136331541505,56.637333570127616
92,67.83135030089412,56.7533185819398
93,67.95989509678262,56.86797834688883
94,68.08702903942367,56.98134209213029
95,68.212782458133,57.093438096202775
96,68.33718471782217,57.204293729478124
