return-period,upper,lower
1,2.339675750039908,2.339675750039908
2,20.642352583752217,14.40967183966711
3,25.816365589584287,19.442118796044763
4,29.10756972971936,22.64016699305522
5,31.848522317050243,25.129828440406193
6,34.013960796641456,27.195215890542027
7,36.025046760045036,28.753191818086496
8,37.611249329896395,30.29209383739115
9,38.849583118936245,31.541696342013044
10,40.24046954779588,32.66116878455286
11,42.10667593430874,33.56939531052705
12,43.32769529367383,34.7688175677319
13,45.03192017328172,35.736320139728726
14,46.24564561841365,36.53874562465826
15,47.4217945681589,37.46765679618253
16,48.76202236352283,38.313852674933614
17,49.603325834804416,39.05289136207453
18,50.492730363163965,39.855983875668144
19,51.27930283242803,40.63163361396927
20,52.06465709529391,41.36951817573568
21,52.7468282035288,42.01728524244856
22,53.394923809970116,42.631655947595384
23,54.01211907148176,43.215792129226436
24,54.60116785227204,43.77243167785772
25,55.16447388981173,44.30396070648731
26,55.70414756508954,44.81247103300033
27,56.222051632737966,45.299806415562415
28,56.7198383886419,45.76760007766681
29,57.198980127689964,46.21730541696036
30,57.66079429320774,46.65022132880398
31,58.10646438976556,47.067513237320334
32,58.537057487005015,47.47023067676961
33,58.95353895956724,47.85932207938338
34,59.35678497024217,48.235647284850586
35,59.7475930981996,48.599988179253174
36,60.12669143314373,48.95305778867265
37,60.4947463933496,49.295508088668456
38,60.85236947635045,49.62793674080355
39,61.20012311228827,49.95089292801424
40,61.538525759185404,50.26488242940863
41,61.868056354838565,50.57037205017644
42,62.18915822030364,50.867793502302646
43,62.5022424939893,51.15754681563473
44,62.80769116241928,51.440003345747705
45,63.105859743131845,51.71550843435278
46,63.39707966649438,51.984383769220294
47,63.6816603960375,52.24692948335259
48,63.9598913209725,52.50342602715622
49,64.23204344960865,52.75413584237914
50,64.49837092825626,52.999304862422846
51,64.7591124067319,53.23916386015146
52,65.01449226866474,53.47392966138655
53,65.26472174233366,53.70380623979899
54,65.5099999056729,53.92898570680927
55,65.75051459730355,54.14964920832287
56,65.98644324392754,54.365967738603246
57,66.21795361311965,54.57810288028298
58,66.44520449943523,54.786207478394374
59,66.66834635078997,54.990426255339294
60,66.88752184123457,55.19089637288606
61,67.1028663955309,55.3877479465647
62,67.31450867030712,55.58110451720484
63,67.5225709960309,55.771083483822544
64,67.72716978356118,55.957796501586465
65,67.92841589862802,56.14134984818253
66,68.12641500722351,56.32184476153331
67,68.32126789457187,56.49937775151332
68,68.51307076006286,56.67404088801942
69,68.70191549028662,56.84592206751151
70,68.8878899120914,57.01510525992258
71,69.07107802738822,57.181670737641575
72,69.2515602312595,57.34569528810683
73,69.4294135147728,57.507252411392834
74,69.60471165376896,57.666412504042626
75,69.7775253847684,57.823243030273346
