return-period,rp
15.0,41.67517949933318
15.999859998599986,42.577719672463544
16.99971999719997,43.42012465865738
17.99957999579996,44.20970802386698
18.999439994399943,44.952535878391394
19.99929999299993,45.653694347235685
20.999159991599917,46.317489127379034
21.9990199901999,46.94759680424754
22.99887998879989,47.547181261361914
23.998739987399873,48.11898440930267
24.99859998599986,48.66539773711038
25.998459984599847,49.18851934717378
26.99831998319983,49.690199865454645
27.998179981799815,50.17207972968897
28.998039980399803,50.6356197256582
29.99789997899979,51.082126185325066
30.997759977599777,51.512771927212356
31.99761997619976,51.92861377286557
32.997479974799745,52.330607288928306
33.99733997339973,52.71961926515239
34.99719997199972,53.09643833251813
35.99705997059971,53.461784043981346
36.996919969199695,53.81631467701693
37.99677996779968,54.16063396760319
38.99663996639966,54.495296946287226
39.99649996499965,54.82081501603836
40.99635996359963,55.137660386905814
41.99621996219962,55.446269962667955
42.996079960799605,55.74704875863818
43.99593995939959,56.0403729167809
44.99579995799958,56.32659237366312
45.99565995659957,56.60603322804608
46.995519955199555,56.87899984773124
47.995379953799535,57.14577674931557
48.99523995239952,57.40663027955875
49.99509995099951,57.66181012292235
50.9949599495995,57.911550656371816
51.99481994819948,58.15607216960818
52.994679946799465,58.39558196642851
53.99453994539945,58.630275360820036
54.99439994399944,58.86033657961323
55.99425994259943,59.08593958199927
56.99411994119941,59.307248804916824
57.993979939799395,59.524419842198
58.99383993839938,59.73760006439991
59.99369993699937,59.94692918542043
60.99355993559936,60.15253978127845
61.99341993419934,60.35455776581429
62.993279932799325,60.55310282752566
63.99313993139931,60.748288831280846
64.9929999299993,60.94022418823781
65.99285992859929,61.12901219693526
66.99271992719926,61.314751358207275
67.99257992579925,61.497535666288414
68.99243992439924,61.67745487823528
69.99229992299922,61.854594763569224
70.99215992159921,62.02903733585493
71.9920199201992,62.200861067757636
72.99187991879919,62.370141090970776
73.99173991739917,62.53694938227093
74.99159991599916,62.70135493683778
75.99145991459915,62.86342392986839
76.99131991319913,63.023219867420124
77.99117991179912,63.18080372733087
78.99103991039911,63.3362340909877
79.99089990899908,63.4895672666475
80.99075990759907,63.64085740494882
81.99061990619906,63.790156607200515
82.99047990479905,63.93751502698163
83.99033990339903,64.08298096554043
84.99019990199902,64.22660096144097
85.99005990059901,64.36841987486764
86.989919899199,64.50848096696419
87.98977989779898,64.64682597455362
88.98963989639896,64.78349518055708
89.98949989499894,64.91852748040523
90.98935989359893,65.05196044471197
91.98921989219892,65.18383037845878
92.9890798907989,65.31417237692224
93.98893988939889,65.44302037855347
94.98879988799888,65.57040721500988
95.98865988659887,65.69636465851772
96.98851988519885,65.82092346673711
97.98837988379884,65.9441134252832
98.98823988239882,66.06596338804972
99.9880998809988,66.18650131547
100.98795987959879,66.30575431083957
101.98781987819878,66.4237486548166
102.98767987679877,66.54050983821
103.98753987539875,66.65606259315484
104.98739987399874,66.77043092276855
105.98725987259873,66.8836381293777
106.98711987119871,66.9957068413953
107.9869798697987,67.10665903892576
108.98683986839868,67.21651607816844
109.98669986699866,67.32529871468903
110.98655986559865,67.43302712561659
111.98641986419864,67.53972093083021
112.98627986279863,67.64539921318554
113.98613986139861,67.75008053783613
114.9859998599986,67.85378297069501
115.98585985859859,67.95652409608432
116.98571985719857,68.05832103361303
117.98557985579856,68.1591904543251
118.98543985439854,68.25914859615344
119.98529985299852,68.35821127871681
120.98515985159851,68.45639391749178
121.9850198501985,68.55371153739159
122.98487984879849,68.65017878578111
123.98473984739847,68.7458099449555
124.98459984599846,68.8406189441099
125.98445984459845,68.93461937082321
126.98431984319843,69.02782448208127
127.98417984179842,69.12024721485886
128.9840398403984,69.21190019628455
129.98389983899838,69.30279575340522
130.98375983759837,69.392945922571
131.98361983619836,69.48236245845624
132.98347983479835,69.57105684273571
133.98333983339833,69.65904029242893
134.98319983199832,69.74632376793016
135.9830598305983,69.83291798073672
136.9829198291983,69.918833400889
137.98277982779828,70.0040802641362
138.98263982639827,70.08866857883852
139.98249982499823,70.17260813261794
140.98235982359824,70.25590849876843
141.9822198221982,70.33857904243584
142.98207982079822,70.42062892657708
143.98193981939818,70.50206711770886
144.98179981799817,70.58290239145337
145.98165981659815,70.66314333789101
146.98151981519814,70.74279836672696
147.98137981379813,70.8218757122795
148.98123981239812,70.90038343829875
149.9810998109981,70.9783294426195
150.9809598095981,71.05572146165927
151.98081980819808,71.13256707476373
152.98067980679807,71.20887370840832
153.98053980539805,71.28464864026012
154.98039980399804,71.35989900310685
155.98025980259803,71.43463178865619
156.98011980119801,71.50885385121343
157.979979799798,71.58257191123887
158.979839798398,71.65579255879236
159.97969979699798,71.72852225686769
160.97955979559796,71.80076734462091
161.97941979419795,71.87253404049757
162.9792797927979,71.94382844526262
163.9791397913979,72.01465654493498
164.97899978999789,72.0850242136331
165.97885978859787,72.15493721633102
166.97871978719786,72.2244012115323
167.97857978579785,72.29342175386176
168.97843978439784,72.36200429657997
169.97829978299782,72.43015419402036
170.9781597815978,72.49787670395709
171.9780197801978,72.56517698989904
172.97787977879779,72.6320601233187
173.97773977739777,72.698531085816
174.97759977599776,72.76459477121618
175.97745977459775,72.83025598761118
176.97731977319773,72.89551945933857
177.97717977179772,72.96038982890666
178.9770397703977,73.02487165886201
179.9768997689977,73.088969433607
180.97675976759768,73.1526875611644
181.97661976619767,73.21603037489271
182.97647976479763,73.27900213515434
183.97633976339762,73.34160703093788
184.9761997619976,73.4038491814338
185.9760597605976,73.46573263756974
186.97591975919758,73.52726138350258
187.97577975779757,73.58843933806882
188.97563975639756,73.64927035619898
