return-years,Max Surge (m)
1.2693872857022364,1.90122017082581
1.2695164222730875,2.2476682239338217
1.2696456338981679,2.306533593124419
1.2697749206337128,2.397891929427118
1.269904282536012,2.6909573871790147
1.2700337196614102,2.821519680803419
1.2701632320663068,2.8719100236132076
1.2702928198071557,2.905168625461974
1.270422482940466,2.9195347431211722
1.2705522215228024,2.9265554924969868
1.270682035610784,3.0199459622529017
1.2708119252610852,3.032916481855238
1.2709418905304357,3.0858677349995727
1.2710719314756207,3.3784487980968585
1.27120204815348,3.5524276133321973
1.27133224062091,3.6650155321616285
1.2714625089348615,3.669674357908533
1.2715928531523413,3.869862865066116
1.271723273330412,3.9757982444768345
1.2718537695261918,4.110846790275223
1.2719843417968544,4.168514757458067
1.2721149901996294,4.289057231075366
1.2722457147918027,4.472664704182907
1.2723765156307159,4.480100041720183
1.2725073927737662,4.487138063051839
1.2726383462784077,4.532284840535251
1.2727693762021504,4.587323650491734
1.27290048260256,4.605392163884041
1.2730316655372595,4.6222019557184435
1.2731629250639271,4.642412852513637
1.2732942612402989,4.651219556928595
1.2734256741241656,4.655172385769198
1.2735571637733767,4.671066232732787
1.2736887302458364,4.67693802316071
1.2738203735995068,4.742218299075182
1.273952093892407,4.813457120419513
1.2740838911826111,4.867989840913279
1.2742157655282527,4.8684608292055085
1.2743477169875208,4.948374811173016
1.2744797456186616,4.9556499907091425
1.274611851479979,4.958039197239811
1.2747440346298338,4.969199511876943
1.2748762951266437,4.984030845734197
1.2750086330288846,4.998213182637283
1.275141048395089,5.003657900307578
1.2752735412838476,5.006395111046778
1.275406111753808,5.070084911916716
1.275538759863676,5.102812427287886
1.275671485672215,5.111352793296062
1.2758042892382462,5.112281390395694
1.275937170620648,5.1593822860579985
1.2760701298783574,5.185895563448566
1.2762031670703693,5.186823144972811
1.2763362822557367,5.248168636894844
1.2764694754935706,5.248964252508635
1.27660274684304,5.25361464834877
1.2767360963633732,5.27891354377107
1.276869524113855,5.348809880564033
1.2770030301538307,5.387941799242238
1.277136614542702,5.390806494752457
1.2772702773399314,5.409226243523096
1.2774040186050382,5.431475535533547
1.2775378383976013,5.454659618860594
1.2776717367772585,5.476278062319503
1.277805713803706,5.502135582828735
1.2779397695366987,5.51236600494491
1.2780739040360514,5.513010675540346
1.2782081173616373,5.518150083163464
1.278342409573389,5.550482321905397
1.278476780731298,5.6210160350793705
1.2786112308954158,5.680147125718044
1.2787457601258525,5.695297655234722
1.278880368482778,5.69539652923877
1.279015056026422,5.697001167484162
1.279149822817073,5.714168014870193
1.2792846689150799,5.714926945735617
1.2794195943808508,5.721833103930819
1.2795545992748543,5.744049386972433
1.2796896836576181,5.752275560429654
1.2798248475897307,5.779290109721725
1.2799600911318396,5.804608880645366
1.2800954143446535,5.863018916011315
1.2802308172889405,5.873693717421746
1.2803663000255294,5.886169763829331
1.2805018626153089,5.922518674367071
1.2806375051192285,5.923720884618355
1.2807732275982977,5.957267154946921
1.2809090301135877,5.961655074304135
1.281044912726229,6.029339845178029
1.2811808754974132,6.040116398840933
1.2813169184883932,6.054061280767003
1.2814530417604826,6.060888828994364
1.281589245375055,6.063467675161036
1.2817255293935463,6.073202189903505
1.2818618938774526,6.108559694815382
1.281998338888332,6.147636247537863
1.282134864487803,6.151517781917076
1.2822714707375455,6.199902161130205
1.2824081576993016,6.21949543888656
1.282544925434874,6.2524142055191
1.2826817740061272,6.253081031439171
1.2828187034749876,6.282730146514258
1.2829557139034429,6.289852215252434
1.283092805353543,6.3048304332883545
1.283229977887399,6.321205712587637
1.2833672315671847,6.3521123140302524
1.2835045664551357,6.43399738306357
1.283641982613549,6.452848315299981
1.2837794801047846,6.454661599795589
1.2839170589912645,6.463462416320427
1.284054719335473,6.469622326423231
1.2841924611999567,6.475308842750354
1.2843302846473243,6.479006139849362
1.2844681897402483,6.4813072063791815
1.2846061765414625,6.507340478152106
1.2847442451137638,6.547451225864131
1.2848823955200126,6.572445689290675
1.2850206278231309,6.573758977593461
1.2851589420861045,6.611239292755156
1.2852973383719826,6.637923154449823
1.2854358167438762,6.643346272125573
1.2855743772649608,6.65097751552778
1.285713019998474,6.6604067507992735
1.2858517450077178,6.66438470939684
1.2859905523560573,6.664754315362946
1.2861294421069203,6.6720897648152295
1.2862684143237995,6.715735229753271
1.2864074690702498,6.734498348635283
1.2865466064098916,6.773723741007949
1.2866858264064074,6.779572870822033
1.2868251291235449,6.790695883724659
1.2869645146251147,6.8289836828545045
