return-years,Max Surge (m)
1.1976865033654938,1.3797518552201669
1.1980330633423737,1.3930235919161538
1.1983803314979316,1.8464265703912375
1.1987283096326928,2.09973797966093
1.1990769995530313,2.2179214394298343
1.199426403071194,2.4601311608094845
1.1997765220053236,2.4805185436516104
1.2001273581794834,2.8820689958539765
1.2004789134236806,3.0495867014188276
1.2008311895738917,3.513808593510078
1.2011841884720855,3.562311195627811
1.2015379119662486,3.572865525240597
1.2018923619104096,3.7005489614322724
1.2022475401646637,3.7157377960317106
1.2026034485951977,3.716805759665429
1.2029600890743153,3.7358800648193777
1.2033174634804609,3.9237659103310865
1.2036755736982463,3.925121016434159
1.2040344216184753,3.943772841647994
1.2043940091381693,3.963902755193423
1.2047543381605927,4.216898698856502
1.2051154105952788,4.272217924428871
1.2054772283580557,4.426481376967987
1.2058397933710718,4.4345495574708345
1.2062031075628223,4.440234072000435
1.2065671728681755,4.565423338824048
1.2069319912283984,4.5940836508033245
1.2072975645911848,4.615942913532512
1.2076638949106797,4.678457031227854
1.2080309841475079,4.693236130329903
1.2083988342688001,4.771571649126022
1.2087674472482195,4.7754025051851885
1.2091368250659895,4.788870898837702
1.2095069697089218,4.793888556045301
1.209877883170442,4.796501788919465
1.2102495674506182,4.871486472762303
1.2106220245561885,4.970431512298804
1.210995256500589,4.980203752459311
1.211369265303982,5.012514647231271
1.2117440529932835,5.038138867797313
1.2121196216021914,5.10905177365982
1.2124959731712146,5.161028805798655
1.212873109747701,5.20944411792547
1.2132510333858666,5.214125837206188
1.2136297461468237,5.250505729069513
1.2140092500986106,5.287594652353626
1.2143895473162198,5.318740592746491
1.2147706398816285,5.363606314699307
1.215152529883827,5.4130443959414185
1.2155352194188482,5.416096916866565
1.2159187105897988,5.42422378369154
1.2163030055068873,5.4459276408997015
1.2166881062874546,5.50053606929879
1.2170740150560049,5.563797370088832
1.2174607339442354,5.5909171275517
1.2178482650910667,5.609321311012023
1.2182366106426736,5.653956148101874
1.218625772752516,5.6590776502879105
1.2190157535813702,5.664743055307046
1.2194065552973583,5.68265894140054
1.219798180075982,5.814372737397635
1.2201906301001522,5.821649681940885
1.220583907560221,5.8326578949143215
1.220978014654014,5.837694473892194
1.2213729535868612,5.852930624307681
1.2217687265716302,5.966025021990369
1.2221653358287574,5.98505790318234
1.2225627835862816,5.988648983048774
1.2229610720798754,5.995238670869247
1.2233602035528781,6.029725926685561
1.2237601802563296,6.0543152126769115
1.2241610044490028,6.094161261871117
1.224562678397436,6.1404312399105985
1.2249652043759682,6.165232070319737
1.2253685846667712,6.170841685980943
1.2257728215598842,6.250126259628232
1.2261779173532468,6.265292252451262
1.226583874352734,6.270806540827718
1.2269906948721903,6.280514148016569
1.2273983812334641,6.281986617264366
1.2278069357664425,6.282537631831139
1.228216360809086,6.351300059489005
1.2286266587074628,6.39685139445675
1.229037831815786,6.422012868775073
1.2294498824964464,6.425501492490541
1.2298628131200502,6.426908717762704
1.2302766260654536,6.436011992402462
1.2306913237197992,6.4815208794542105
1.2311069084785524,6.485962717540167
1.2315233827455365,6.493355108970235
1.2319407489329708,6.494172214482338
1.2323590094615062,6.502171341706228
1.2327781667602624,6.547198634203709
1.2331982232668657,6.560603018439192
1.2336191814274846,6.5666965730821145
1.2340410436968692,6.58532172347871
1.2344638125383876,6.599701184703661
1.2348874904240645,6.62801346473808
1.2353120798346189,6.6502142136475015
1.2357375832595021,6.654576432760028
1.2361640031969368,6.66059209744238
1.2365913421539558,6.71665389415268
1.2370196026464406,6.7206330546643525
1.2374487871991604,6.72311957378713
1.237878898345811,6.763902980927621
1.2383099386290566,6.817917160467976
1.2387419106005657,6.868564135501678
1.2391748168210548,6.869606939310174
1.239608659860326,6.916054521860634
1.2400434422973086,6.93684936748009
1.2404791667200996,6.943204385119129
1.240915835726004,7.0538750319757035
1.2413534519215765,7.102657447171194
1.2417920179226618,7.1224609945230295
1.242231536354437,7.135538905865211
1.2426720098514528,7.142592966718326
1.2431134410576758,7.148443682194728
1.24355583262653,7.1530091704283985
1.2439991872209395,7.164060793384769
1.2444435075133715,7.171630620212829
